"sample_name"	"sample_title"	"organism"	"collection_date"	"env_broad_scale"	"env_local_scale"	"env_medium"	"geo_loc_name"	"host"	"lat_lon"	"chem_administration"	"host_age"	"host_disease"	"host_sex"	"host_tissue_sampled"	"samp_collect_device"	"description"
"M49"	"M49_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
"M5"	"M5_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M50"	"M50_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M51"	"M51_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M52"	"M52_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M53"	"M53_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M56"	"M56_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M57"	"M57_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M58"	"M58_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M6"	"M6_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M60"	"M60_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M61"	"M61_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
"M62"	"M62_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M63"	"M63_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M65"	"M65_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M66"	"M66_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
"M67"	"M67_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M69"	"M69_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M7"	"M7_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
"M71"	"M71_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M72"	"M72_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M74"	"M74_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M75"	"M75_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M76"	"M76_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M77"	"M77_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M78"	"M78_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M79"	"M79_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
"M8"	"M8_75 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_60 weeks"
"M80"	"M80_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M81"	"M81_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M82"	"M82_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M83"	"M83_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M84"	"M84_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
"M86"	"M86_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M87"	"M87_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M88"	"M88_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M89"	"M89_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M9"	"M9_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
"M92"	"M92_mock community_Control"	"cloacal metagenome"	"1/1/2020"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"Control"	"none"	"female"	"cloacal swab"	"sterile swab"	"mock community_Control"
"M94"	"M94_negative control_Control"	"cloacal metagenome"	"1/1/2020"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"Control"	"none"	"female"	"cloacal swab"	"sterile swab"	"negative control_Control"
"M96"	"M96_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M97"	"M97_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M98"	"M98_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M99"	"M99_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
